"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"2/4/2026","2/4/2026","2/4/2026","NIO","ADR Fee: R/D 2026-01-02 P/D 2026-02-04 - 1816.200035 shares at 0.02","AFEE","","","($36.32)"
"2/2/2026","2/2/2026","2/2/2026","","Gold Deposit Boost Payment","GDBP","","","$7.07"
"1/30/2026","1/30/2026","1/30/2026","","Interest Payment","INT","","","$81.80"
"1/27/2026","1/27/2026","1/28/2026","GE","General Electric
CUSIP: 369604301
Dividend Reinvestment","Buy","0.001252","$295.38","($0.37)"
"1/26/2026","1/26/2026","1/26/2026","GE","Cash Div: R/D 2025-12-29 P/D 2026-01-26 - 1.019449 shares at 0.36","CDIV","","","$0.37"
"1/20/2026","1/20/2026","1/20/2026","","Gold Subscription Fee","GOLD","","","($5.00)"
"1/15/2026","1/15/2026","1/15/2026","DIS","Cash Div: R/D 2025-12-15 P/D 2026-01-15 - 15.087866 shares at 0.75","CDIV","","","$11.32"
"1/9/2026","1/9/2026","1/12/2026","CRM","Salesforce
CUSIP: 79466L302
Dividend Reinvestment","Buy","0.015814","$258.62","($4.09)"
"1/8/2026","1/8/2026","1/8/2026","CRM","Cash Div: R/D 2025-12-18 P/D 2026-01-08 - 9.820276 shares at 0.416","CDIV","","","$4.09"
"1/7/2026","1/7/2026","1/7/2026","SPCE","Stock Lending","SLIP","","","$9.40"
"1/7/2026","1/7/2026","1/7/2026","NOK","Stock Lending","SLIP","","","$0.01"
"1/7/2026","1/7/2026","1/7/2026","ICAGY","Stock Lending","SLIP","","","$0.01"
"1/7/2026","1/7/2026","1/7/2026","VFF","Stock Lending","SLIP","","","$0.01"
"1/7/2026","1/7/2026","1/7/2026","USO","Stock Lending","SLIP","","","$0.12"
"1/7/2026","1/7/2026","1/7/2026","ARKK","Stock Lending","SLIP","","","$0.05"
"1/7/2026","1/7/2026","1/7/2026","CRON","Stock Lending","SLIP","","","$0.01"
"1/7/2026","1/7/2026","1/7/2026","CHPT","Stock Lending","SLIP","","","$1.21"
"1/7/2026","1/7/2026","1/7/2026","ARKX","Stock Lending","SLIP","","","$0.01"
"12/31/2025","12/31/2025","12/31/2025","","Interest Payment","INT","","","$85.64"
"12/31/2025","12/31/2025","12/31/2025","","Gold Deposit Boost Payment","GDBP","","","$7.07"
"12/26/2025","12/26/2025","12/26/2025","NVDA","Cash Div: R/D 2025-12-04 P/D 2025-12-26 - 113.140446 shares at 0.01","CDIV","","","$1.13"
"12/24/2025","12/24/2025","12/26/2025","META","Meta Platforms
CUSIP: 30303M102
Dividend Reinvestment","Buy","0.013556","$666.09","($9.03)"
"12/23/2025","12/23/2025","12/23/2025","META","Cash Div: R/D 2025-12-15 P/D 2025-12-23 - 17.204924 shares at 0.525","CDIV","","","$9.03"
"12/22/2025","12/22/2025","12/22/2025","","Gold Subscription Fee","GOLD","","","($5.00)"
"12/19/2025","12/19/2025","12/22/2025","","ACH Deposit","ACH","","","$3,000.00"
"12/19/2025","12/19/2025","12/22/2025","ARKX","ARK Space & Defense Innovation ETF
CUSIP: 00214Q807","Buy","0.922297","$28.64","($26.41)"
"12/19/2025","12/19/2025","12/22/2025","ARKX","ARK Space & Defense Innovation ETF
CUSIP: 00214Q807","Buy","34","$28.64","($973.59)"
"12/19/2025","12/19/2025","12/22/2025","SPCE","Virgin Galactic Holdings
CUSIP: 92766K403","Buy","151.28593","$3.30","($500.00)"
"12/19/2025","12/19/2025","12/22/2025","NIO","NIO
CUSIP: 62914V106","Buy","0.136092","$5.00","($0.68)"
"12/19/2025","12/19/2025","12/22/2025","NIO","NIO
CUSIP: 62914V106","Buy","200","$5.00","($999.32)"
"12/19/2025","12/19/2025","12/22/2025","GOOGL","Alphabet Class A
CUSIP: 02079K305","Buy","3.276325","$305.22","($1,000.00)"
"12/16/2025","12/16/2025","12/17/2025","GOOGL","Alphabet Class A
CUSIP: 02079K305
Dividend Reinvestment","Buy","0.080806","$308.14","($24.90)"
"12/16/2025","12/16/2025","12/17/2025","KO","Coca-Cola
CUSIP: 191216100
Dividend Reinvestment","Buy","0.373805","$70.62","($26.40)"
"12/15/2025","12/15/2025","12/15/2025","KO","Cash Div: R/D 2025-12-01 P/D 2025-12-15 - 51.763625 shares at 0.51","CDIV","","","$26.40"
"12/15/2025","12/15/2025","12/15/2025","GOOGL","Cash Div: R/D 2025-12-08 P/D 2025-12-15 - 118.552728 shares at 0.21","CDIV","","","$24.90"
"12/12/2025","12/12/2025","12/15/2025","MSFT","Microsoft
CUSIP: 594918104
Dividend Reinvestment","Buy","0.040511","$479.12","($19.41)"
"12/11/2025","12/11/2025","12/11/2025","MSFT","Cash Div: R/D 2025-11-20 P/D 2025-12-11 - 21.332173 shares at 0.91","CDIV","","","$19.41"
